구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적
종로구,종로6가,주) 동승 JW메리어트 동대문 스퀘어 서울,2015,0.1658,15,73.3,1.9090851529441544,0.1136,1.0,37.56764454,127.00812433,200717.74892437088,452011.86466061743,1,관광숙박업,숙박시설,16,41731.0
종로구,인사동,도미인 익스프레스 서울 인사동,2018,0.2481,26,88.5,3.678599523494187,0.1094,0.7,37.56962018,126.9863919,198797.815797546,452231.1936651586,2,관광숙박업,호텔,16,4543.0
종로구,효제동,더도아스테이,2020,0.3718,13,84.6,2.205256749033484,0.1065,0.7,37.57184081,127.00175573,200155.10234337,452477.5721707976,0,관광숙박업,업무시설,11,95.0
종로구,창신동,케이스테이,1970,0.129,2,50.0,2.577167206594277,0.178,0.08,37.56874973,127.01018412,200899.70904426335,452134.5455707981,1,관광숙박업,숙박시설,6,498.0
종로구,창신동,오리지날 백패커스,1966,0.1433,2,100.0,1.4376179213932505,0.1837,0.18,37.56968368,127.01175024,201038.05387246163,452238.2192797013,2,관광숙박업,숙박시설,6,276.0
중구,장충동,앰배서더 서울 풀만 호텔,1963,0.3935,3,0.0,0.0,0.188,0.45,37.55742965,127.00160709,200141.99873929736,450878.1024411745,2,숙박업,"숙박시설,호텔, 관광호텔, 관람집회시설, 근린생활시설, 영업, 운동시설",20,32899.27
성동구,성동,호텔 포코 성수,2014,0.2394,14,42.9,4.611152257665639,0.115,0.85,37.54070199,127.0562547,204971.64573525035,449023.0195011626,2,관광숙박업,관광호텔,13,3177.53
중구,회현동,루미아 호텔,2015,0.2223,0,0.0,0.0219789067187752,0.1136,0.12,37.55527178,126.97898241,198142.8810077828,450638.8109561808,2,관광숙박업,호텔,6,956.0
중구,광희동,소테츠호텔즈 더 스프라지르 서울 동대문,2015,0.3196,10,70.0,1.3909133069761852,0.1136,0.7,37.5619628,127.00695765,200614.72454878,451381.24996497255,1,관광숙박업,호텔,25,12563.0
중구,명동,호텔 크레토,2015,0.0877,5,0.0,0.4885317068067778,0.1136,0.12,37.55924412,126.98729931,198877.823743196,451079.5616872809,0,관광숙박업,관광호텔,10,1377.0
중구,남창동,24게스트하우스 명동타운점,1964,0.2167,41,70.7,0.8002011767241046,0.1866,1.0,37.55661038,126.97811019,198065.84604851183,450787.39720676985,2,관광숙박업,"업무시설, 제1종근린생활시설",11,267.0
중구,쌍림동,호텔 더 디자이너스 동대문,2015,0.4213,53,67.9,0.616029877215514,0.1136,0.85,37.56091185,127.00486601,200429.9293321233,451264.5952978897,1,관광숙박업,관광호텔,20,4804.0
중구,명동,솔라리아 니시테츠 호텔 서울 명동,1971,0.1001,23,69.6,1.7060041108251514,0.1766,0.7,37.55974994,126.98437425,198619.3878342585,451135.7406616765,0,관광숙박업,호텔,24,12389.0
