구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
중구,황학동,홍스테이 신당,2,고위험군,37.56450034,127.0210405,201858.9132,451663.0724,34.87490551,41.348188471739874,-6.473282961739876,3.8845674748567807
중구,필동,블루브릭스 남산,2,고위험군,37.55351364,126.9957371,199623.3159,450443.4793,52.96110765,53.21652907774684,-0.25542142774683896,3.8845674748567807
중구,신당동,와유,2,고위험군,37.5537573,127.0092099,200813.8071,450470.554,40.57221977,39.99564757512373,0.5765721948762632,3.8845674748567807
중구,예장동,남산 하나 하우스,2,고위험군,37.55235723,126.9937912,199451.3703,450315.1412,43.81273322,41.0601219521766,2.752611267823397,3.8845674748567807
중구,(장충동,글림스,2,고위험군,37.55957821,127.0078024,200689.3821,451116.5945,47.01206448,47.57591227563165,-0.5638477956316521,3.8845674748567807
중구,남학동,해마루,2,고위험군,37.55778377,126.9896856,199088.6488,450917.4543,42.42446275,41.496336967515276,0.9281257824847273,3.8845674748567807
중구,신당동,뽀키 하우스,2,고위험군,37.55998632,127.0128996,201139.7433,451161.9395,34.47588615,38.69248951043272,-4.216603360432721,3.8845674748567807
중구,신당동,더 情(정) 스테이,2,고위험군,37.56112752,127.0119906,201059.4101,451288.5886,32.09606862,39.85298606067335,-7.756917440673355,3.8845674748567807
중구,(광희동,웨어하우스,2,고위험군,37.56093266,127.0089999,200795.1704,451266.9319,44.52550809,41.0601219521766,3.465386137823401,3.8845674748567807
중구,필동,무지개 하우스,2,고위험군,37.55598648,126.9974478,199774.4857,450717.9296,45.88263655,40.91471694706371,4.967919602936291,3.8845674748567807
중구,(장충동,중구 마루,2,고위험군,37.55578529,127.0006057,200053.5168,450695.597,48.73679139,47.06013603108026,1.6766553589197386,3.8845674748567807
중구,신당동,포코라 스테이,2,고위험군,37.55589487,127.0092648,200818.6295,450707.7992,43.94323832,47.175362638905575,-3.2321243189055764,3.8845674748567807
중구,(장충동,서울우리집(SEOUL WOORIJIB),2,고위험군,37.56003474,127.0074591,200659.0414,451167.2615,46.42467188,41.10676129343923,5.317910586560771,3.8845674748567807
중구,(회현동,남대문 하우스,2,고위험군,37.55509097,126.9792975,198170.7162,450618.737,50.51111132,54.88731489121385,-4.37620357121385,3.8845674748567807
중구,남창동,케이팝 하우스,2,고위험군,37.55394624,126.9764108,197915.6152,450491.7457,32.31059695,41.15614412536436,-8.84554717536436,3.8845674748567807
중구,예장동,태은 하우스,2,고위험군,37.5563119,126.9920602,199298.4508,450754.0739,41.19362209,40.04503040704887,1.1485916829511282,3.8845674748567807
중구,(필동,린앤힐,2,고위험군,37.55756004,126.9968038,199717.5917,450892.5778,45.84329277,39.89962540193597,5.943667368064027,3.8845674748567807
중구,황학동,티아모스테이,2,고위험군,37.56441455,127.0200994,201775.7688,451653.5325,35.22993492,39.75422039682309,-4.5242854768230885,3.8845674748567807
중구,필동,미야,2,고위험군,37.55667372,126.9951559,199571.9849,450794.213,28.72798585,40.141052580236625,-11.413066730236626,3.8845674748567807
중구,(남산동,스테이720,2,고위험군,37.55431315,126.9849806,198672.8637,450532.3129,43.15912087,41.496336967515276,1.6627839024847262,3.8845674748567807
중구,남창동,샤이닝 데이지,2,고위험군,37.55434273,126.9766158,197933.7438,450535.7469,34.39493308,41.59235914070303,-7.19742606070303,3.8845674748567807
중구,(광희동,라르고 스테이 동대문,2,고위험군,37.56149707,127.0086864,200767.4711,451329.5721,39.87344976,41.64174197262817,-1.7682922126281682,3.8845674748567807
중구,신당동,메트로썬 스테이,2,고위험군,37.55985101,127.0113559,201003.3494,451146.9041,47.30802481,40.09166974831149,7.21635506168851,3.8845674748567807
중구,(장충동,서울N하우스,2,고위험군,37.55958688,127.0083747,200739.9495,451117.5611,60.94241412,54.580043937013016,6.362370182986986,3.8845674748567807
중구,(만리동,메이하우스,2,고위험군,37.55242898,126.9659875,196994.5354,450323.6302,41.84667285,39.803603228748216,2.0430696212517816,3.8845674748567807
중구,(남산동,해피가든,2,고위험군,37.55527576,126.9851366,198686.6649,450639.1489,44.88985847,41.20552695728949,3.684331512710507,3.8845674748567807
중구,예장동,마마 게스트하우스2,2,고위험군,37.5557369,126.9875998,198904.3179,450690.2984,43.60656834,41.10676129343923,2.4998070465607753,3.8845674748567807
중구,중림동,J Stay Seoul,2,고위험군,37.55513081,126.9671369,197096.2009,450623.4649,44.84525576,41.20552695728949,3.6397288027105077,3.8845674748567807
중구,(남산동,아리하우스,2,고위험군,37.55760349,126.9860718,198769.3421,450897.4866,47.68913019,43.38385854332036,4.305271646679643,3.8845674748567807
중구,(회현동,선물플러스,2,고위험군,37.5547866,126.9821223,198420.3157,450584.9044,46.21601223,43.040922210506935,3.1750900194930622,3.8845674748567807
중구,신당동,77게스트하우스,2,고위험군,37.56177346,127.0108538,200958.9591,451360.2681,60.49631632,53.21652907774684,7.279787242253157,3.8845674748567807
중구,(남산동,명동 루프탑호스텔 2,2,고위험군,37.55556134,126.9857794,198743.4677,450670.8361,40.86116656,40.09166974831149,0.7694968116885121,3.8845674748567807
중구,(남산동,남산 마이,2,고위험군,37.55466166,126.9840442,198590.1278,450571.007,46.68851568,41.348188471739874,5.340327208260128,3.8845674748567807
중구,(장충동,타오,2,고위험군,37.55489488,127.0062429,200551.6224,450596.7903,53.23646908,41.10676129343923,12.129707786560772,3.8845674748567807
중구,예장동,더힐,2,고위험군,37.55500894,126.9846466,198643.3689,450609.542,45.1925667,40.09166974831149,5.100896951688512,3.8845674748567807
중구,(만리동,콩 포레스트,2,고위험군,37.55234747,126.9659384,196990.1899,450314.5851,41.07725287,39.803603228748216,1.2736496412517866,3.8845674748567807
중구,(회현동,남산스튜디오,2,고위험군,37.55515938,126.9793328,198173.8388,450626.329,50.53107218,54.82695809663868,-4.2958859166386745,3.8845674748567807
중구,(회현동,브루니하우스,2,고위험군,37.55358333,126.9802825,198257.7179,450451.3883,40.3849747,42.51142851264301,-2.126453812643007,3.8845674748567807
중구,(광희동,까사데루나,2,고위험군,37.56089279,127.007935,200701.0813,451262.4983,42.12728201,39.803603228748216,2.323678781251786,3.8845674748567807
중구,(회현동,스테이모어,2,고위험군,37.55454397,126.9835361,198545.2302,450557.9525,44.80164547,40.527884763650164,4.273760706349833,3.8845674748567807
용산구,서계동,유어홈,2,고위험군,37.5485797,126.9677056,197146.2052,449896.3528,37.88505541,40.28920107601203,-2.4041456660120275,3.8845674748567807
용산구,(용산동,지미집2,2,고위험군,37.54356367,126.9817095,198383.5909,449339.3012,44.6726979,39.85298606067335,4.819711839326651,3.8845674748567807
용산구,한강로1가,하우재,2,고위험군,37.53166385,126.9734744,197655.4528,448018.7404,28.40368529,40.5772675955753,-12.173582305575302,3.8845674748567807
용산구,동자동,서울채(seoulchae),2,고위험군,37.54730923,126.9726644,197584.3668,449755.207,45.72897854,41.5429763087779,4.186002231222098,3.8845674748567807
용산구,서계동,BRO & SIS,2,고위험군,37.54783273,126.9670404,197087.3955,449813.4685,38.09581755,40.62665042750044,-2.530832877500437,3.8845674748567807
